Strike,Last,Type
"3,970.00",168.67,Call
"3,975.00",104.29,Call
"3,980.00",84.1,Call
"3,985.00",0,Call
"3,990.00",161.52,Call
"3,995.00",111.42,Call
"4,000.00",103.45,Call
"4,005.00",167.9,Call
"4,010.00",79.28,Call
"4,015.00",118.2,Call
"4,020.00",77,Call
"4,025.00",74.3,Call
"4,030.00",74.4,Call
"4,035.00",71.75,Call
"4,040.00",76.15,Call
"4,045.00",71.56,Call
"4,050.00",73.37,Call
"4,055.00",70.72,Call
"4,060.00",58.73,Call
"4,065.00",87.5,Call
"3,970.00",43.57,Put
"3,975.00",48.87,Put
"3,980.00",59,Put
"3,985.00",53.88,Put
"3,990.00",32.82,Put
"3,995.00",57.48,Put
"4,000.00",61.38,Put
"4,005.00",48,Put
"4,010.00",41.07,Put
"4,015.00",75.4,Put
"4,020.00",74,Put
"4,025.00",74.6,Put
"4,030.00",47.39,Put
"4,035.00",44.8,Put
"4,040.00",77.16,Put
"4,045.00",82.99,Put
"4,050.00",51.97,Put
"4,055.00",73.75,Put
"4,060.00",76,Put
"4,065.00",66.65,Put
,,
4016.25,4023.25,future
,,
,"4,017.82",s&p500 index
