Strike,Last,Type
"3970.00",168.67,Call
"3975.00",104.29,Call
"3980.00",84.1,Call
"3985.00",103.52,Call
"3990.00",161.52,Call
"3995.00",111.42,Call
"4000.00",103.45,Call
"4005.00",167.9,Call
"4010.00",79.28,Call
"4015.00",118.2,Call
"4020.00",77,Call
"4025.00",74.3,Call
"4030.00",74.4,Call
"4035.00",71.75,Call
"4040.00",76.15,Call
"4045.00",71.56,Call
"4050.00",73.37,Call
"4055.00",70.72,Call
"4060.00",58.73,Call
"4065.00",87.5,Call
"3970.00",43.57,Put
"3975.00",48.87,Put
"3980.00",59,Put
"3985.00",53.88,Put
"3990.00",32.82,Put
"3995.00",57.48,Put
"4000.00",61.38,Put
"4005.00",48,Put
"4010.00",41.07,Put
"4015.00",75.4,Put
"4020.00",74,Put
"4025.00",74.6,Put
"4030.00",47.39,Put
"4035.00",44.8,Put
"4040.00",77.16,Put
"4045.00",82.99,Put
"4050.00",51.97,Put
"4055.00",73.75,Put
"4060.00",76,Put
"4065.00",66.65,Put

